latitude_dd,longitude_dd,trawl_id,date_formatted,datetime_utc_iso
38.07694444,-123.12444444,200303006111,2003-Jul-29,2003-07-29T00:00:00Z
41.48583333,-124.67027778,200303008092,2003-Sep-27,2003-09-27T00:00:00Z
37.37694444,-122.55111111,200303010119,2003-Jul-30,2003-07-30T00:00:00Z
43.67444444,-124.46,200403008067,2004-Sep-06,2004-09-06T00:00:00Z
33.65722222,-118.60166667,200503008205,2005-Oct-16,2005-10-16T00:00:00Z
45.83416667,-124.2775,200503010013,2005-May-31,2005-05-31T00:00:00Z
46.3175,-124.46972222,200503010038,2005-Jun-06,2005-06-06T00:00:00Z
43.85527778,-124.80861111,200503010065,2005-Jun-19,2005-06-19T00:00:00Z
36.88055556,-122.17055556,200503010116,2005-Jul-08,2005-07-08T00:00:00Z
32.93527778,-117.8675,200503010162,2005-Jul-23,2005-07-23T00:00:00Z
33.79166667,-118.46833333,200603017169,2006-Jul-17,2006-07-17T00:00:00Z
44.60527778,-124.54888889,200603018048,2006-Aug-31,2006-08-31T00:00:00Z
35.0125,-120.91833333,200703017154,2007-Jul-10,2007-07-10T00:00:00Z
38.14472222,-123.17638889,200803018123,2008-Sep-26,2008-09-26T00:00:00Z
48.0525,-124.99027778,201403010017,2014-Aug-27,2014-08-27T00:00:00Z
32.54722222,-118.62083333,201003017169,2010-Jul-15,2010-07-15T00:00:00Z
41.40833333,-124.84888889,201203008088,2012-Sep-16,2012-09-16T00:00:00Z
34.09444444,-119.83111111,201203017358,2012-Oct-08,2012-10-08T00:00:00Z
44.89722222,-124.66138889,201303017048,2013-Jun-07,2013-06-07T00:00:00Z
45.73722222,-124.76166667,201303020045,2013-Jun-08,2013-06-08T00:00:00Z
34.08416667,-119.705,201303020166,2013-Jul-14,2013-07-14T00:00:00Z
46.58861111,-124.26888889,201403008020,2014-Aug-27,2014-08-27T00:00:00Z
36.01666667,-121.85611111,201403017140,2014-Jul-03,2014-07-03T00:00:00Z
39.53833333,-124.16916667,201503017096,2015-Sep-20,2015-09-20T00:00:00Z
46.75972222,-124.4575,201403008021,2014-Aug-27,2014-08-27T00:00:00Z
46.79083333,-124.40472222,201403008022,2014-Aug-27,2014-08-27T00:00:00Z
46.30416667,-124.725,200303003001,2003-Aug-31,2003-08-31T00:00:00Z
46.73194444,-124.93027778,200303003002,2003-Sep-01,2003-09-01T00:00:00Z
46.71916667,-124.81861111,200303003003,2003-Sep-01,2003-09-01T00:00:00Z
46.92416667,-125.09638889,200303003004,2003-Sep-01,2003-09-01T00:00:00Z
47.01416667,-124.98277778,200303003005,2003-Sep-01,2003-09-01T00:00:00Z
47.56361111,-125.43611111,200303003006,2003-Sep-02,2003-09-02T00:00:00Z
47.54,-125.18194444,200303003008,2003-Sep-02,2003-09-02T00:00:00Z
47.57666667,-125.06222222,200303003009,2003-Sep-02,2003-09-02T00:00:00Z
47.64055556,-124.94277778,200303003010,2003-Sep-02,2003-09-02T00:00:00Z
47.72861111,-124.85333333,200303003011,2003-Sep-03,2003-09-03T00:00:00Z
47.84111111,-125.01333333,200303003012,2003-Sep-03,2003-09-03T00:00:00Z
47.83888889,-125.10555556,200303003013,2003-Sep-03,2003-09-03T00:00:00Z
47.71388889,-125.22777778,200303003014,2003-Sep-03,2003-09-03T00:00:00Z
47.65944444,-125.15638889,200303003015,2003-Sep-03,2003-09-03T00:00:00Z
48.095,-125.85527778,200303003016,2003-Sep-04,2003-09-04T00:00:00Z
47.93666667,-125.74833333,200303003017,2003-Sep-04,2003-09-04T00:00:00Z
47.76916667,-125.70583333,200303003019,2003-Sep-04,2003-09-04T00:00:00Z
48.34388889,-125.00666667,200303003020,2003-Sep-05,2003-09-05T00:00:00Z
48.32916667,-125.32444444,200303003021,2003-Sep-05,2003-09-05T00:00:00Z
48.2275,-125.17861111,200303003023,2003-Sep-05,2003-09-05T00:00:00Z
48.16055556,-124.895,200303003024,2003-Sep-06,2003-09-06T00:00:00Z
48.0925,-125.03277778,200303003025,2003-Sep-06,2003-09-06T00:00:00Z
48.15611111,-125.11583333,200303003026,2003-Sep-06,2003-09-06T00:00:00Z
47.99777778,-124.9575,200303003027,2003-Sep-06,2003-09-06T00:00:00Z
48.00277778,-125.22805556,200303003028,2003-Sep-07,2003-09-07T00:00:00Z
48.04388889,-125.13222222,200303003029,2003-Sep-07,2003-09-07T00:00:00Z
48.07694444,-125.32472222,200303003030,2003-Sep-07,2003-09-07T00:00:00Z
48.11388889,-125.60388889,200303003032,2003-Sep-07,2003-09-07T00:00:00Z
47.29555556,-124.88027778,200303003033,2003-Sep-08,2003-09-08T00:00:00Z
47.2925,-124.76416667,200303003034,2003-Sep-08,2003-09-08T00:00:00Z
47.02916667,-124.68416667,200303003035,2003-Sep-08,2003-09-08T00:00:00Z
46.59055556,-124.68694444,200303003037,2003-Sep-12,2003-09-12T00:00:00Z
46.43222222,-124.63277778,200303003038,2003-Sep-12,2003-09-12T00:00:00Z
46.15166667,-124.76666667,200303003039,2003-Sep-12,2003-09-12T00:00:00Z
46.0475,-124.83,200303003040,2003-Sep-13,2003-09-13T00:00:00Z
46.07472222,-124.71555556,200303003041,2003-Sep-13,2003-09-13T00:00:00Z
45.95111111,-124.36527778,200303003042,2003-Sep-13,2003-09-13T00:00:00Z
45.79111111,-124.525,200303003043,2003-Sep-13,2003-09-13T00:00:00Z
45.72277778,-124.30472222,200303003044,2003-Sep-14,2003-09-14T00:00:00Z
45.59361111,-124.77472222,200303003045,2003-Sep-14,2003-09-14T00:00:00Z
45.36972222,-124.71194444,200303003046,2003-Sep-14,2003-09-14T00:00:00Z
45.29694444,-124.56638889,200303003047,2003-Sep-14,2003-09-14T00:00:00Z
45.09472222,-124.25972222,200303003048,2003-Sep-14,2003-09-14T00:00:00Z
45.1375,-124.51,200303003049,2003-Sep-15,2003-09-15T00:00:00Z
45.12972222,-124.72666667,200303003050,2003-Sep-15,2003-09-15T00:00:00Z
45.09027778,-124.70722222,200303003051,2003-Sep-15,2003-09-15T00:00:00Z
44.95444444,-125.02861111,200303003052,2003-Sep-15,2003-09-15T00:00:00Z
44.60638889,-125.09722222,200303003053,2003-Sep-15,2003-09-15T00:00:00Z
44.93166667,-124.48277778,200303003054,2003-Sep-16,2003-09-16T00:00:00Z
