species,species_pretty,term,estimate,std.error,conf.low,conf.high
arrowtooth_flounder_cpue_numbers_per_ha_der,Arrowtooth Flounder,(Intercept),-2.6205842439702707,3.527139052630159,-8.422211707451165,3.1810432195106237
arrowtooth_flounder_cpue_numbers_per_ha_der,Arrowtooth Flounder,chlor_a_standardized,-0.9771134762252394,0.7498931969694543,-2.2105780210866808,0.25635106863620183
aurora_rockfish_cpue_numbers_per_ha_der,Aurora Rockfish,(Intercept),0.10554615621874792,0.41556797541539725,-0.5780023353881482,0.7890946478256441
aurora_rockfish_cpue_numbers_per_ha_der,Aurora Rockfish,chlor_a_standardized,0.1430420911295035,0.5732598158603812,-0.7998863961739773,1.0859705784329843
big_skate_cpue_numbers_per_ha_der,Big Skate,(Intercept),-3.4506364562956326,1.0355353677076748,-5.153940561706127,-1.747332350885138
big_skate_cpue_numbers_per_ha_der,Big Skate,chlor_a_standardized,0.4124434162814011,0.37301498385505943,-0.20111163281983807,1.0259984653826402
bigeye_starsnout_poacher_cpue_numbers_per_ha_der,Bigeye Starsnout Poacher,(Intercept),-14.352566292737999,15.119854166305926,-39.22251325716362,10.51738067168762
bigeye_starsnout_poacher_cpue_numbers_per_ha_der,Bigeye Starsnout Poacher,chlor_a_standardized,-17.572646470885573,35.306996939817154,-75.64748844410832,40.50219550233718
bigfin_eelpout_cpue_numbers_per_ha_der,Bigfin Eelpout,(Intercept),-0.06735881656251719,0.5212956179014301,-0.9248138043815929,0.7900961712565585
bigfin_eelpout_cpue_numbers_per_ha_der,Bigfin Eelpout,chlor_a_standardized,0.4324213119502259,0.2717091690485397,-0.014500500235235136,0.8793431241356868
bigmouth_sole_cpue_numbers_per_ha_der,Bigmouth Sole,(Intercept),-3.423432420912722,1.631817997404968,-6.10753417246897,-0.7393306693564736
bigmouth_sole_cpue_numbers_per_ha_der,Bigmouth Sole,chlor_a_standardized,-8.137332974338534,4.278562474930247,-15.174941979366015,-1.0997239693110528
black_eelpout_cpue_numbers_per_ha_der,Black Eelpout,(Intercept),-2.9306231669861025,1.1524675203442354,-4.826263547768087,-1.034982786204118
black_eelpout_cpue_numbers_per_ha_der,Black Eelpout,chlor_a_standardized,0.15790784051530735,0.6200234380617605,-0.8619399603755005,1.1777556414061152
black_hagfish_cpue_numbers_per_ha_der,Black Hagfish,(Intercept),-14.966211945020325,9.779718803163792,-31.052417888969792,1.1199939989291448
black_hagfish_cpue_numbers_per_ha_der,Black Hagfish,chlor_a_standardized,-22.9682379483022,21.069782663892724,-57.62494638208538,11.688470485480988
blackbelly_dragonfish_cpue_numbers_per_ha_der,Blackbelly Dragonfish,(Intercept),-13.256488074409356,11.974622067472893,-32.95298861346527,6.440012464646562
blackbelly_dragonfish_cpue_numbers_per_ha_der,Blackbelly Dragonfish,chlor_a_standardized,-12.769416639754128,28.448578823966763,-59.563164699970685,34.02433142046243
blackbelly_eelpout_cpue_numbers_per_ha_der,Blackbelly Eelpout,(Intercept),-1.3370817605533065,0.9193097902602597,-2.8492118033548914,0.17504828224827818
blackbelly_eelpout_cpue_numbers_per_ha_der,Blackbelly Eelpout,chlor_a_standardized,0.5321239582927921,0.35887420769909667,-0.058171583860402776,1.1224195004459872
blackfin_poacher_cpue_numbers_per_ha_der,Blackfin Poacher,(Intercept),-5.646304473551423,1.8653015239370716,-8.714452450557422,-2.5781564965454233
blackfin_poacher_cpue_numbers_per_ha_der,Blackfin Poacher,chlor_a_standardized,-5.885720903627423,4.422145053583186,-13.159502233919236,1.3880604266643903
blacksmelt_unident._cpue_numbers_per_ha_der,Blacksmelt Unident.,(Intercept),-5.249017922632529,2.204174715847061,-8.874562698428296,-1.6234731468367616
blacksmelt_unident._cpue_numbers_per_ha_der,Blacksmelt Unident.,chlor_a_standardized,-0.8290617521516116,1.3624267144448032,-3.070054274861723,1.4119307705585
blacktail_snailfish_cpue_numbers_per_ha_der,Blacktail Snailfish,(Intercept),-1.742629422342789,0.3897083108131772,-2.3836425508369747,-1.1016162938486032
blacktail_snailfish_cpue_numbers_per_ha_der,Blacktail Snailfish,chlor_a_standardized,-0.7603004539188014,0.6275900372118864,-1.7925942028653818,0.271993295027779
blacktip_poacher_cpue_numbers_per_ha_der,Blacktip Poacher,(Intercept),-16.965856279916203,13.602887055862102,-39.340614390762205,5.4089018309298
blacktip_poacher_cpue_numbers_per_ha_der,Blacktip Poacher,chlor_a_standardized,-32.360999391845695,31.1478465087371,-83.59464769346965,18.872648909778256
brown_cat_shark_cpue_numbers_per_ha_der,Brown Cat Shark,(Intercept),0.13554917184441057,0.4657048238912568,-0.6304670968219195,0.9015654405107405
brown_cat_shark_cpue_numbers_per_ha_der,Brown Cat Shark,chlor_a_standardized,-0.4849008441972504,0.5644250200783318,-1.4132973856152518,0.44349569722075094
California_grenadier_cpue_numbers_per_ha_der,California Grenadier,(Intercept),-1.2063973854941918,0.41346331219629345,-1.8864840141716337,-0.52631075681675
California_grenadier_cpue_numbers_per_ha_der,California Grenadier,chlor_a_standardized,0.105149829928141,0.5658377003359486,-0.8255703637353239,1.0358700235916058
California_skate_cpue_numbers_per_ha_der,California Skate,(Intercept),-3.547274480441984,1.5112090149547326,-6.032992109772037,-1.061556851111931
California_skate_cpue_numbers_per_ha_der,California Skate,chlor_a_standardized,0.6950233474356112,0.34634755306499365,0.12533231859088922,1.2647143762803332
California_slickhead_cpue_numbers_per_ha_der,California Slickhead,(Intercept),-0.6642525298367851,1.5363023851610544,-3.191245080163142,1.8627400204895719
California_slickhead_cpue_numbers_per_ha_der,California Slickhead,chlor_a_standardized,-2.1153443131728396,1.1935266229368655,-4.078520907773684,-0.15216771857199496
canary_rockfish_cpue_numbers_per_ha_der,Canary Rockfish,(Intercept),-3.0731026246597706,0.7457403377230616,-4.299736323927563,-1.8464689253919775
canary_rockfish_cpue_numbers_per_ha_der,Canary Rockfish,chlor_a_standardized,-2.542210078068968,1.9628456657444664,-5.770803890514729,0.6863837343767933
curlfin_sole_cpue_numbers_per_ha_der,Curlfin Sole,(Intercept),-5.165146230090961,2.071859879550394,-8.573052467504667,-1.7572399926772566
curlfin_sole_cpue_numbers_per_ha_der,Curlfin Sole,chlor_a_standardized,0.07712285376560794,1.0331123410423317,-1.6221957274461971,1.776441434977413
darkblotched_rockfish_cpue_numbers_per_ha_der,Darkblotched Rockfish,(Intercept),-1.556319417665044,2.0571536001601096,-4.940035978084677,1.8273971427545896
darkblotched_rockfish_cpue_numbers_per_ha_der,Darkblotched Rockfish,chlor_a_standardized,-0.07670955795656119,1.1963029002391379,-2.0444527223474718,1.8910336064343494
deepsea_smelt_unident._cpue_numbers_per_ha_der,Deepsea Smelt Unident.,(Intercept),-4.096503116276966,1.6332733445998562,-6.7829987009452,-1.410007531608732
deepsea_smelt_unident._cpue_numbers_per_ha_der,Deepsea Smelt Unident.,chlor_a_standardized,-0.25294542406347853,0.7520162947657161,-1.4899021540354735,0.9840113059085165
deepsea_sole_cpue_numbers_per_ha_der,Deepsea Sole,(Intercept),-6.490104624248536,2.278496808858197,-10.237898364296296,-2.7423108842007773
deepsea_sole_cpue_numbers_per_ha_der,Deepsea Sole,chlor_a_standardized,-1.429759834525256,0.8844212717998623,-2.884503371198293,0.024983702147780784
filetail_cat_shark_cpue_numbers_per_ha_der,Filetail Cat Shark,(Intercept),-5.0139597991937945,2.5627999721676065,-9.229390628564811,-0.7985289698227769
filetail_cat_shark_cpue_numbers_per_ha_der,Filetail Cat Shark,chlor_a_standardized,-0.5063033269604899,0.8080345683589928,-1.8354019174279457,0.8227952635069661
flathead_sole_cpue_numbers_per_ha_der,Flathead Sole,(Intercept),-2.737889664177955,1.1297584887991332,-4.596177012058423,-0.8796023162974871
flathead_sole_cpue_numbers_per_ha_der,Flathead Sole,chlor_a_standardized,-0.020785055656349694,0.6838652000838034,-1.1456432103600873,1.1040730990473882
giant_grenadier_cpue_numbers_per_ha_der,Giant Grenadier,(Intercept),-2.0860191778438644,1.014888548908859,-3.755362288468117,-0.4166760672196117
giant_grenadier_cpue_numbers_per_ha_der,Giant Grenadier,chlor_a_standardized,-2.480270995479492,1.5783978290162912,-5.076504389309267,0.1159623983502831
greenspotted_rockfish_cpue_numbers_per_ha_der,Greenspotted Rockfish,(Intercept),-3.634146428722483,1.2934835588424707,-5.761737551886618,-1.506555305558348
greenspotted_rockfish_cpue_numbers_per_ha_der,Greenspotted Rockfish,chlor_a_standardized,-3.4197892332723456,3.519060097773934,-9.208127998556002,2.36854953201131
greenstriped_rockfish_cpue_numbers_per_ha_der,Greenstriped Rockfish,(Intercept),-0.868979743474357,1.2971485972317396,-3.0025993183259976,1.2646398313772833
greenstriped_rockfish_cpue_numbers_per_ha_der,Greenstriped Rockfish,chlor_a_standardized,-2.366550956845797,1.8135042702648552,-5.349500033282926,0.6163981195913317
hagfish_unident._cpue_numbers_per_ha_der,Hagfish Unident.,(Intercept),-3.631724341204022,1.698619030043356,-6.425704013579627,-0.8377446688284174
hagfish_unident._cpue_numbers_per_ha_der,Hagfish Unident.,chlor_a_standardized,-1.1250976263676786,0.9812124282707522,-2.7390484478186856,0.4888531950833286
halfbanded_rockfish_cpue_numbers_per_ha_der,Halfbanded Rockfish,(Intercept),1.0719981536086032,0.6615100547457502,-0.01608905920481063,2.1600853664220168
halfbanded_rockfish_cpue_numbers_per_ha_der,Halfbanded Rockfish,chlor_a_standardized,-0.8013797765729255,1.8626151264177058,-3.8651090228757625,2.262349469729912
jack_mackerel_cpue_numbers_per_ha_der,Jack Mackerel,(Intercept),-14.403727768800572,8.566136838946646,-28.493769017304576,-0.3136865202965673
