latitude,longitude,cruise,time,station_id,tow_numbers,species_count,total_larvae,sample_date
32.956665,-117.30666,199003,1990-03-04T21:34:00Z,26.7,1,2,21,1990-03-04
32.956665,-117.30666,199003,1990-03-04T21:57:00Z,26.7,1,15,70,1990-03-04
32.515,-118.21166,199003,1990-03-05T20:58:00Z,40,1,5,16,1990-03-05
32.68,-117.87334,199003,1990-03-05T12:26:00Z,35,1,3,6,1990-03-05
32.68,-117.87334,199003,1990-03-05T13:45:00Z,35,1,6,66,1990-03-05
32.846664,-117.53,199003,1990-03-05T05:35:00Z,30,1,1,15,1990-03-05
32.846664,-117.53,199003,1990-03-05T06:15:00Z,30,1,7,107,1990-03-05
32.915,-117.39333,199003,1990-03-05T00:49:00Z,28,1,2,3,1990-03-05
32.915,-117.39333,199003,1990-03-05T02:19:00Z,28,1,7,59,1990-03-05
31.846666,-119.57333,199003,1990-03-06T17:20:00Z,60,1,6,31,1990-03-06
32.015,-119.235,199003,1990-03-06T12:46:00Z,55,1,2,7,1990-03-06
32.015,-119.235,199003,1990-03-06T13:15:00Z,55,1,8,71,1990-03-06
32.181667,-118.89166,199003,1990-03-06T07:53:00Z,50,1,2,4,1990-03-06
32.181667,-118.89166,199003,1990-03-06T08:20:00Z,50,1,10,20,1990-03-06
32.346664,-118.555,199003,1990-03-06T02:58:00Z,45,1,2,5,1990-03-06
32.346664,-118.555,199003,1990-03-06T03:23:00Z,45,1,8,35,1990-03-06
30.848333,-121.59,199003,1990-03-07T15:40:00Z,90,1,15,34,1990-03-07
31.18,-120.92167,199003,1990-03-07T08:12:00Z,80,1,1,1,1990-03-07
31.18,-120.92167,199003,1990-03-07T08:35:00Z,80,1,2,2,1990-03-07
31.513332,-120.245,199003,1990-03-07T01:47:00Z,70,1,1,1,1990-03-07
31.513332,-120.245,199003,1990-03-07T02:10:00Z,70,1,10,72,1990-03-07
30.513332,-122.26,199003,1990-03-08T08:35:00Z,100,1,15,47,1990-03-08
31.085,-122.66167,199003,1990-03-08T16:23:00Z,100,1,3,3,1990-03-08
31.085,-122.66167,199003,1990-03-08T17:03:00Z,100,1,12,20,1990-03-08
31.418333,-121.99,199003,1990-03-09T03:46:00Z,90,1,2,4,1990-03-09
31.418333,-121.99,199003,1990-03-09T04:44:00Z,90,1,11,22,1990-03-09
31.751665,-121.315,199003,1990-03-09T14:35:00Z,80,1,10,13,1990-03-09
32.085,-120.64,199003,1990-03-10T01:05:00Z,70,1,7,60,1990-03-10
